Name,Score
geforce gtx 980m,7348
geforce gtx titan,8199
geforce gtx titan black,9184
geforce gtx titan x,12722
geforce gtx titan z,8810
geforce mx110,1417
geforce mx130,1814
geforce mx150,2252
geforce mx230,1827
geforce mx250,2380
geforce mx330,2358
geforce mx350,2820
geforce mx450,3716
geforce mx550,4526
geforce mx570,5714
geforce mx570 a,6182
geforce pcx 5300,6
geforce pcx 5750,34
geforce pcx 5900,34
geforce rtx 2050,7754
geforce rtx 2060,14118
geforce rtx 2060 (mobile),11352
geforce rtx 2060 12gb,15927
geforce rtx 2060 super,16462
geforce rtx 2060 with max-q design,9714
geforce rtx 2070,16104
geforce rtx 2070 (mobile),12357
geforce rtx 2070 super,18164
geforce rtx 2070 super with max-q design,13584
geforce rtx 2070 with max-q design,11493
geforce rtx 2080,18705
geforce rtx 2080 (mobile),15013
geforce rtx 2080 super,19477
geforce rtx 2080 super with max-q design,13594
geforce rtx 2080 ti,21535
geforce rtx 2080 with max-q design,12796
geforce rtx 3050 4gb laptop gpu,9499
geforce rtx 3050 6gb,10720
geforce rtx 3050 6gb laptop gpu,10171
geforce rtx 3050 8gb,12548
geforce rtx 3050 a laptop gpu,11595
geforce rtx 3050 laptop gpu,12144
geforce rtx 3050 oem,11876
geforce rtx 3050 ti laptop gpu,10093
geforce rtx 3060,16976
geforce rtx 3060 12gb,16799
geforce rtx 3060 8gb,15217
geforce rtx 3060 laptop gpu,13215
geforce rtx 3060 ti,20329
geforce rtx 3070,22203
geforce rtx 3070 laptop gpu,15297
geforce rtx 3070 ti,23334
geforce rtx 3070 ti laptop gpu,17705
geforce rtx 3080,25088
geforce rtx 3080 12gb,26558
geforce rtx 3080 laptop gpu,16328
geforce rtx 3080 ti,26886
geforce rtx 3080 ti laptop gpu,19225
geforce rtx 3090,26634
geforce rtx 3090 ti,29445
geforce rtx 4050 laptop gpu,14411
geforce rtx 4060,19544
geforce rtx 4060 laptop gpu,17452
geforce rtx 4060 ti,22688
geforce rtx 4060 ti 16gb,22753
geforce rtx 4070,26926
geforce rtx 4070 laptop gpu,19576
geforce rtx 4070 super,29988
geforce rtx 4070 ti,31608
geforce rtx 4070 ti super,31802
geforce rtx 4080,34459
geforce rtx 4080 laptop gpu,24903
geforce rtx 4080 super,34269
geforce rtx 4090,38185
geforce rtx 4090 d,32259
geforce rtx 4090 laptop gpu,27214
geforce rtx 5050,17605
geforce rtx 5050 laptop gpu,16707
geforce rtx 5060,20706
geforce rtx 5060 laptop gpu,18049
geforce rtx 5060 ti 16gb,22834
geforce rtx 5060 ti 8gb,22694
geforce rtx 5070,29031
geforce rtx 5070 laptop gpu,20296
geforce rtx 5070 ti,32949
geforce rtx 5070 ti laptop gpu,23637
geforce rtx 5080,36430
geforce rtx 5080 laptop gpu,27371
geforce rtx 5090,39411
geforce rtx 5090 d,42305
geforce rtx 5090 laptop gpu,29521
geforce2 go,4
geforce2 gts/geforce2 pro,3
geforce2 integrated gpu,4
geforce2 mx,2
geforce2 mx 100/200,3
geforce2 mx with dvi-d and tv-out,4
geforce2 mx with tv out,2
geforce2 mx/mx 400,3
geforce2 ti,4
geforce2 ultra,6
geforce3,4
geforce3 ti 200,4
geforce3 ti 500,2
geforce4 420 go,3
geforce4 420 go 32m,5
geforce4 4200 go,3
geforce4 440,4
geforce4 440 go,3
geforce4 440 go 64m,5
geforce4 448 go,5
geforce4 mx 4000,4
geforce4 mx 420,4
geforce4 mx 440,4
geforce4 mx 440 with agp8x,4
geforce4 mx 440se,4
geforce4 mx 460,4
geforce4 mx integrated gpu,6
geforce4 ti 4200,5
geforce4 ti 4400,7
geforce4 ti 4600,5
geforce4 ti 4800,5
geforce4 ti 4800 se,6
geforce9400m,105
gf117,554
glenfly arise-gt-10c0,1007
grid gtx p40-6,4340
grid k1,650
grid k120q,293
grid k140q,727
grid k160q,628
grid k180q,533
grid k2,2736
grid k220q,912
grid k240q,2541
grid k260q,2949
grid k280q,2839
grid k520,3516
grid m10-0b,870
grid m10-0q,795
grid m10-1b,1493
grid m10-1q,2384
grid m10-2b,1623
grid m10-2q,2691
grid m10-4q,2976
grid m10-8q,2068
grid m6-0b,911
grid m6-1q,2069
grid m6-8q,3568
grid m60-0b,1838
grid m60-0q,827
grid m60-1b,4456
grid m60-1q,3694
grid m60-2q,5203
grid m60-4q,3831
grid m60-8a,5523
grid m60-8q,3883
grid p100-16q,5944
grid p100-1b,2223
grid p100-8q,3267
grid p4-1b,2151
grid p4-1q,729
grid p4-2b,1238
grid p4-2b4,2753
grid p4-2q,2692
grid p4-4q,6234
grid p4-8a,3206
grid p4-8q,5283
grid p40-12q,5752
grid p40-1b,3690
grid p40-24q,7956
grid p40-2b,9842
grid p40-2b4,8160
grid p40-2q,4130
grid p40-3q,681
grid p40-4q,5076
grid p40-8q,7507
grid p6-2q,3925
grid p6-4q,4429
grid rtx6000-1b,8473
grid rtx6000-6q,21986
grid rtx6000p-6q,4777
grid t4-16q,4910
grid t4-1b,1731
grid t4-1q,3302
grid t4-2b,3069
grid t4-2q,3765
grid t4-4q,3635
grid t4-8q,5171
grid v100-8q,16
grid v100d-8q,4155
gt 430,223
incredible hd,389
incredible hd 4000,517
incredible hd 4600,749
intel - express chipset g41,56
intel - express chipset q45/q43,57
intel 2nd generation sandybridge hd,169
intel 2nd generation sandybridge hd 3000,205
intel 4th generation haswell hd,419
intel 82845g controller,2
intel 82845g/gl controller,2
intel 82845g/gl/ge/pe/gv controller,2
intel 82852/82855 gm/gme controller,1
intel 82865g controller,4
intel 82915g express,5
intel 82915g/915gv/910gl,3
intel 82915g/gv/910gl advanced v3.5,2
intel 82915g/gv/910gl express,3
intel 82945g express,9
intel 82945g express-chipsatzfamilie,8
intel 865 embedded controller,3
"intel 915g,910g express",4
intel 915g/915gv/910gl embedded controller functio,4
intel 945g embedded chipset function 0,4
intel 946gz embedded chipset,3
intel 946gz express,2
intel arc,5506
intel arc 130t gpu,6271
intel arc 130v gpu,4566
intel arc 140t,5634
intel arc 140t gpu,6800
intel arc 140v gpu,5203
intel arc a310,5438
intel arc a310 lp,4922
intel arc a370m,5115
intel arc a380,6265
intel arc a530m,7963
intel arc a580,12041
intel arc a730m,9808
intel arc a750,12549
intel arc a770,13267
intel arc a770m,11778
intel arc b570,14260
intel arc b580,15820
intel arc pro,5773
intel arc pro 140t gpu,6687
intel arc pro a40/a50,5478
intel arc pro a60,9378
intel b43 express chipset,138
intel coffee lake uhd,1158
intel extreme controller,1
intel g33/g31 express,37
intel g35 express,2097
intel g41 express chipset,149
intel g41 express-chipsatz,57
intel g45/g43 express chipset,141
intel g45/g43/g41 express chipset,67
intel g965 express,208
intel gma 3150 express,2
intel graphics,3165
intel haswell hd - gt1,123
intel haswell hd - gt2,139
intel hd 2000,213
intel hd 3000,261
intel hd 4000,344
intel hd 4400,524
intel hd 4600,628
intel hd 4600 manual-gen9_2015-134121,619
