Name,Score
amd epyc 7203p,22017
amd epyc 7232p,17712
amd epyc 7251,14935
amd epyc 7252,19411
amd epyc 7261,11149
amd epyc 7262,20779
amd epyc 7272,25161
amd epyc 7281,21621
amd epyc 7282,30137
amd epyc 72f3,27252
amd epyc 7301,14991
amd epyc 7302,33106
amd epyc 7302p,32690
amd epyc 7303,28572
amd epyc 7313,38644
amd epyc 7313p,41121
amd epyc 7343,43644
amd epyc 7351,23226
amd epyc 7351p,26042
amd epyc 7352,40370
amd epyc 7371,30782
amd epyc 73f3,46103
amd epyc 7401p,27836
amd epyc 7402,46012
amd epyc 7402p,43759
amd epyc 7413,50641
amd epyc 7443,56686
amd epyc 7443p,56981
amd epyc 7451,24059
amd epyc 7452,45642
amd epyc 7453,48453
amd epyc 7473x,59280
amd epyc 74f3,60666
amd epyc 7501,24925
amd epyc 7502,51695
amd epyc 7502p,51054
amd epyc 7513,59331
amd epyc 7532,51138
amd epyc 7542,45359
amd epyc 7543,62952
amd epyc 7543p,66687
amd epyc 7551,25996
amd epyc 7551p,38236
amd epyc 7552,57414
amd epyc 7571,27445
amd epyc 7573x,69432
amd epyc 75f3,64505
amd epyc 7601,35059
amd epyc 7642,58795
amd epyc 7643,76050
amd epyc 7643p,77307
amd epyc 7662,72298
amd epyc 7663,82087
amd epyc 7702,68870
amd epyc 7702p,61936
amd epyc 7713,82825
amd epyc 7713p,81582
amd epyc 7742,69140
amd epyc 7763,84591
amd epyc 7773x,91340
amd epyc 7b12,66044
amd epyc 7b13,78064
amd epyc 7c13,76322
amd epyc 7d12,42900
amd epyc 7f32,23198
amd epyc 7f52,41322
amd epyc 7f72,52740
amd epyc 7h12,69633
amd epyc 7j13,84786
amd epyc 7k23,81183
amd epyc 7k62,59590
amd epyc 7r12,48934
amd epyc 7r13 64-core,82158
amd epyc 7r32,64623
amd epyc 7r43,83535
amd epyc 7t83,81757
amd epyc 7v12,70622
amd epyc 7v13,82878
amd epyc 8024p,20455
amd epyc 8124p,35988
amd epyc 8224p,45421
amd epyc 8324p,57127
amd epyc 8324pn 32-core,8375
amd epyc 8434p,66490
amd epyc 8534p,71900
amd epyc 9115,49416
amd epyc 9124,43846
amd epyc 9135,57808
amd epyc 9174f,54694
amd epyc 9175f,65792
amd epyc 9184x,47665
amd epyc 9224,48062
amd epyc 9254,64086
amd epyc 9255,75669
amd epyc 9274f,73982
amd epyc 9275f,84620
amd epyc 9334,64836
amd epyc 9354,73411
amd epyc 9354p,75106
amd epyc 9355p,97255
amd epyc 9374f,82009
amd epyc 9375f,95768
amd epyc 9384x,69665
amd epyc 9454,86324
amd epyc 9454p,94623
amd epyc 9455p,116713
amd epyc 9474f,102107
amd epyc 9534,89077
amd epyc 9554,108773
amd epyc 9554p,105283
amd epyc 9555p,135441
amd epyc 9565,135221
amd epyc 9575f,150282
amd epyc 9634,107944
amd epyc 9654,119451
amd epyc 9654p,116324
amd epyc 9655,156110
